WordIndex,OriginalCode,RollupCode
574,655.11,PheCode:655
575,987.9,PheCode:987
576,765.01,PheCode:637
577,533.01,PheCode:531
577,533.01,PheCode:531.1
578,770.15,PheCode:656
579,369.67,PheCode:367
579,369.67,PheCode:367.9
580,016.02,PheCode:010
581,198.6,PheCode:198
582,550.90,PheCode:550
582,550.90,PheCode:550.1
583,306.1,PheCode:303
583,306.1,PheCode:303.3
584,352.1,PheCode:352
585,733.44,PheCode:733.4
586,623.6,PheCode:617
587,668.94,PheCode:668
588,813.40,PheCode:803
588,813.40,PheCode:803.2
589,985.6,PheCode:985
590,556.2,PheCode:555
590,556.2,PheCode:555.2
590,556.2,PheCode:555.21
591,533.61,PheCode:531
591,533.61,PheCode:531.1
592,386.35,PheCode:386
592,386.35,PheCode:386.3
593,V40.3,PheCode:306
594,794.6,PheCode:259
594,794.6,PheCode:259.1
595,964.5,PheCode:964
595,964.5,PheCode:964.1
596,584.5,PheCode:585
596,584.5,PheCode:585.1
597,346.83,PheCode:340
598,086.0,PheCode:133
600,751.7,PheCode:750
600,751.7,PheCode:750.2
600,751.7,PheCode:750.22
601,838.10,PheCode:830
602,V42.82,PheCode:860
603,210.1,PheCode:210
604,614.6,PheCode:614
604,614.6,PheCode:614.1
605,774.2,PheCode:656
605,774.2,PheCode:656.8
606,123.0,PheCode:134
606,123.0,PheCode:134.1
607,567.1,PheCode:567
608,814.04,PheCode:804
609,010.16,PheCode:010
610,878.6,PheCode:870
610,878.6,PheCode:870.8
611,792.5,PheCode:585
611,792.5,PheCode:585.3
611,792.5,PheCode:585.31
612,958.3,PheCode:876
614,042.1,PheCode:071
614,042.1,PheCode:071.1
615,539.81,PheCode:539
617,804.66,PheCode:819
618,191.7,PheCode:191
618,191.7,PheCode:191.1
618,191.7,PheCode:191.11
619,208.0,PheCode:204
620,V09.51,PheCode:041
620,V09.51,PheCode:041.9
621,372.64,PheCode:372
622,327.44,PheCode:327
622,327.44,PheCode:327.5
623,754.61,PheCode:755
623,754.61,PheCode:755.1
624,095.2,PheCode:090
625,493.92,PheCode:495
625,493.92,PheCode:495.2
626,999.3,PheCode:080
627,441.03,PheCode:442
627,441.03,PheCode:442.1
628,668.10,PheCode:668
629,640.80,PheCode:636
629,640.80,PheCode:636.3
632,623.7,PheCode:622
634,873.71,PheCode:870
634,873.71,PheCode:870.5
635,242.10,PheCode:242
636,495.0,PheCode:500
636,495.0,PheCode:500.1
637,425.11,PheCode:425
637,425.11,PheCode:425.1
637,425.11,PheCode:425.11
638,529.9,PheCode:529
639,589.9,PheCode:586
639,589.9,PheCode:586.1
639,589.9,PheCode:586.11
640,654.82,PheCode:619
640,654.82,PheCode:619.5
641,V46.14,PheCode:509
641,V46.14,PheCode:509.8
642,208.12,PheCode:204
645,453.1,PheCode:452
646,786.09,PheCode:512
646,786.09,PheCode:512.9
647,793.5,PheCode:599
648,851.03,PheCode:816
649,134.8,PheCode:132
651,011.23,PheCode:010
652,202.62,PheCode:202
653,V71.82,PheCode:1010
654,V10.81,PheCode:170
654,V10.81,PheCode:170.1
655,533.71,PheCode:531
655,533.71,PheCode:531.4
656,379.99,PheCode:379
657,711.16,PheCode:711
657,711.16,PheCode:711.2
658,588.81,PheCode:588
658,588.81,PheCode:588.2
659,371.15,PheCode:364
660,821.01,PheCode:800
660,821.01,PheCode:800.2
662,599.82,PheCode:597
662,599.82,PheCode:597.8
663,649.22,PheCode:539
664,959.8,PheCode:1009
665,203.82,PheCode:204
665,203.82,PheCode:204.4
667,800.09,PheCode:819
670,362.63,PheCode:362
670,362.63,PheCode:362.6
671,901.42,PheCode:1007
672,953.8,PheCode:907
673,737.41,PheCode:737
673,737.41,PheCode:737.1
674,664.30,PheCode:665
675,389.8,PheCode:389
677,835.12,PheCode:830
679,707.11,PheCode:707
679,707.11,PheCode:707.2
680,277.83,PheCode:277
680,277.83,PheCode:277.8
681,017.25,PheCode:010
682,823.80,PheCode:800
682,823.80,PheCode:800.3
683,739.9,PheCode:769
684,205.31,PheCode:204
684,205.31,PheCode:204.2
685,302.9,PheCode:302
686,305.20,PheCode:316
687,090.41,PheCode:090
688,790.93,PheCode:796
689,158.0,PheCode:159
